row,alt,temp,wind,ph,pressure,cloud,sunlight
1,200,32,2,6,10,7,15
2,220,32,2,6,10,7,15
3,230,31.8,2,6,10,7,15
4,280,31.2,3,6,10,7,15
5,280,31.2,3,5.8,11,7,15
6,350,31.2,3,6,13,7,14
7,480,30.9,4,5.5,13,7,14
8,480,30.9,4,5.8,13,7.2,16
9,580,30.9,4,5.8,13,7.2,16
10,720,29.9,4,5.9,14,7.2,16
11,750,29.1,5,6,14,7.2,16
12,755,29.1,5,6.3,14,7.1,15
13,820,29,5,6.1,14,7.1,15
14,900,28.1,6,5.8,15,7.2,14
15,930,28.1,6,5.8,15,7.2,14
16,980,28,6,5.8,15,7.9,14
17,20,27,8,5.2,15,7.2,14
18,500,25.2,9,5.2,15,7.2,11
19,210,32,2,6,10,7,15
20,210,32,2,6,10,7,15
21,230,31.8,3,6,10,7,15
22,415,31,3,6,10,7,15
23,550,30.1,3,6,10,7,15
24,555,30,3,6,10,7,15
25,700,29,4,6,10,7,15
26,770,28.1,5,6,10,7,15
27,730,30.2,4,6,13,7,14
28,870,28,4,5.2,10,7.3,14
29,830,28,4,6,10,7,15
30,935,27.6,5,5.2,10,7.3,14
31,905,31,5,5.8,16,7.2,15
32,955,30,6,5.8,16,7.2,15
33,210,27.8,7,5.8,15,7.9,14
34,180,27.9,7,5.8,15,7.9,14
35,395,26.8,8,5.2,15,7.2,10
36,340,25.8,9,5.2,15,7.2,11
37,230,31.8,3,6,10,6.5,15
38,250,31.5,3,6,12,7,15
39,250,31.5,3,6,12,7.2,15
40,560,30.1,3,5.8,10,7,15
41,705,30,4,5.8,10,7,15
42,915,30.1,4,6,10,7,15
43,990,29,5,6,10,7,15
44,985,29.1,4,6,10,7,15
45,815,29.9,5,6,13,7,14
46,940,29.3,5,5.8,14,7.4,14
47,915,29.3,6,6,17,7.2,14
48,40,30.1,6,6,17,7.2,15
49,0,30,6,5.9,16,7.2,15
50,955,28,6,5.8,15,7.2,15
51,445,27.4,7,5.8,15,7.9,11
52,670,26.4,7,5.8,15,7.7,11
53,800,23.8,9,5.2,15,7.2,9
54,340,25.8,9,5.8,16,7,12
55,280,31.5,3,5.8,10,7,15
56,300,31.5,3,6,13,7.1,15
57,280,31.5,3,5.8,10,7,15
58,415,31,3,6,10,7,15
59,500,29.9,3,6,11,7,15
60,765,30,5,6,10,7,15
61,790,29.4,5,6,10,7,15
62,910,28.1,5,6,10,7,15
63,870,30.1,4,6,13,7,15
64,910,29.4,5,6.1,13,7,15
65,905,31,5,5.8,16,7.2,15
66,990,30,6,5.9,16,7.2,15
67,870,28.1,5,6,13,7,15
68,110,28.8,7,6,16,7,14
69,555,25.8,7,5.9,16,7,13
70,430,27.4,7,5.8,15,7.7,11
71,495,21.9,8,5.2,15,7.2,10
72,390,26.8,8,5.9,16,7,12
73,380,31.2,3,5.8,10,7,15
74,455,32.2,3,5.9,10,7.2,16
75,530,31.2,4,5.8,10,7.2,16
76,600,30.4,3,6,10,7,15
77,640,29.4,4,6,11,7,15
78,805,29.1,5,6,12,7,14
79,130,28.6,5,6,10,7,15
80,210,27.9,5,6,10,7,15
81,210,27.9,5,6,10,7,15
82,340,26.2,7,6,10,7,15
83,355,26,7,6.1,10,7,15
84,405,26.1,8,6,10,7,15
85,410,26.1,8,6,11,7,14
86,430,26,9,6,15,7,14
87,345,28.4,8,5.9,16,7,13
88,380,27.4,9,5.8,12,7.7,11
89,385,27.8,9,5.2,15,7.2,10
90,380,26.8,8,5.9,16,7,16
91,340,32.2,3,5.9,10,7,15
92,355,32.2,3,5.9,10,7,15
93,560,31.2,4,5.8,11,7.3,16
94,670,29.6,4,6,10,7,15
95,765,30,5,6,10,7,15
96,920,27.7,8,5.9,18,7.3,14
97,770,29.1,4,6,10,7,15
98,15,29,4,6,10,7.3,15
99,405,26.3,6,6,15,7.5,15
100,535,26.7,6,6.1,15,7.5,14
101,445,27.4,7,5.8,15,7.9,11
102,445,26.1,6,6,16,7.5,15
103,380,27.4,9,5.8,12,7.7,11
104,440,25.9,5,6,15,7.3,15
105,310,28.8,8,5.9,16,7,13
106,905,21,9,5.8,16,7.2,15
107,385,27.8,9,5.2,15,7.2,9
108,190,27.8,8,5.9,16,7,16
109,380,31.2,3,5.8,10,7,14
110,810,30.2,4,5.8,11,7.3,16
111,955,30,4,5.9,11,7.3,15
112,710,29.4,5,6,10,7,15
113,815,29.5,5,6,10,7,15
114,930,27.8,8,5.9,14,7.3,15
115,60,26.1,6,5.9,15,6.3,14
116,115,26.9,6,6,15,6.3,14
117,915,29.1,4,6,14,7,15
118,110,30.2,6,5.8,16,7.2,15
119,0,24,8,5.4,16,7,10
120,715,26,6,6.1,16,7.5,15
121,800,26.3,6,6,16,7.7,15
122,810,26,6,6.1,16,7.7,15
123,250,27.8,8,5.8,16,7,13
124,350,28.1,9,5.8,16,7,13
125,300,27,8,5.9,16,7,13
126,210,29.1,7,5.7,16,7,16
127,510,32.1,4,5.8,10,7,14
128,60,29.3,4,5.9,11,7.3,15
129,980,30.1,5,5.7,11,7.3,16
130,765,29.4,5,6,10,7.1,17
131,10,29.3,5,6,11,7,15
132,60,29.3,4,5.9,11,7.3,15
133,115,26.9,6,6,15,6.3,14
134,350,27,7,5.8,18,7.3,14
135,490,25,7,5.9,18,7.3,14
136,550,25.3,7,5.9,18,7.3,15
137,340,25.9,7,6,18,7.3,15
138,280,27.4,8,6,16,7,13
139,480,27.4,8,6,16,7,13
140,690,28.1,8,5.9,16,7,13
141,390,26.1,8,5.8,16,7,13
142,0,25.7,9,5.4,16,7,10
143,90,24,8,5.4,16,7,10
144,220,29,7,5.7,16,7,16
145,510,32.3,4,5.8,11,8,15
146,160,29.1,5,5.8,12,7.3,15
147,780,32,5,5.7,11,7.3,15
148,560,30.1,3,5.8,10,7,15
149,35,29.3,5,5.9,11,7,15
150,990,29.2,6,6.1,10,7,15
151,910,28.1,4,6,10,7,15
152,455,27.3,7,5.9,18,7.3,14
153,510,25.1,7,6,18,7.3,14
154,195,27.3,8,6,14,7.7,15
155,140,26.3,7,6,18,7.3,15
156,905,21,9,5.8,16,7.2,15
157,0,21.1,9,5.9,18,7.2,10
158,550,26.4,9,5.4,15,7.4,14
159,715,22.1,9,5.8,16,7.2,15
160,450,24.9,8,5.6,16,7,13
161,930,25.7,9,5.7,16,7,10
162,275,28.9,8,5.7,16,7,16
163,710,32.3,4,5.8,11,8,15
164,260,29,5,5.8,12,7.3,15
165,290,27.3,6,5.9,12,7.3,15
166,75,27.2,4,5.9,15,6.8,17
167,415,29.1,5,5.9,11,7,17
168,955,27.9,8,6,14,7.3,15
169,375,29.1,5,5.9,15,6.3,14
170,375,28.1,6,5.8,14,6.3,14
171,530,25.2,7,6,18,7.3,14
172,795,28.1,6,6,11,7.7,15
173,220,26.9,7,6,14,7.3,15
174,775,23.1,9,5.8,19,7.2,15
175,315,26.5,8,5.8,15,7.2,14
176,490,26.9,9,5.9,15,7.2,14
177,315,26.5,8,5.8,15,7.2,14
178,565,25.7,8,5.6,16,7,13
179,350,28.1,9,5.8,16,7,13
180,375,28.8,7,5.7,16,7,16
181,735,30,5,5.7,11,8,15
182,440,27.7,7,5.9,12,7.3,15
183,440,27.4,6,5.9,12,7.3,14
184,105,27.4,4,5.8,16,7,17
185,350,27,7,5.8,18,7.3,14
186,220,27.3,8,5.8,18,7.3,14
187,345,30.8,5,5.9,14,6.3,14
188,710,27,7,5.9,18,7.3,12
189,570,25.3,7,6,18,7.1,13
190,515,25,7,6,19,7.1,13
191,995,28.3,8,5.8,15,7.2,15
192,810,28.2,6,6,11,7.7,15
193,415,26.6,8,5.9,15,7.2,15
194,405,26.5,8,5.8,15,7.2,15
195,315,26.4,8,5.8,15,7.2,15
196,300,21,8,5.6,16,7,13
197,970,25.9,9,5.7,16,7,10
198,475,28.9,7,5.7,16,7,16
199,905,29.1,6,5.7,11,8,15
200,740,25.6,8,5.9,12,7.3,15
201,350,27,7,5.8,18,7.3,14
202,10,27.4,5,6.1,15,6.8,17
203,990,28,9,5.9,14,7.7,15
204,190,27.1,9,5.9,14,7.7,15
205,195,27.3,8,6,14,7.7,15
206,200,27.2,8,6,14,7.7,15
207,230,27,6,6.1,14,7.7,15
208,930,28,7,5.9,14,7.7,15
209,895,28.1,7,6,14,7.8,15
210,715,26.1,9,6,15,7.2,13
211,715,26.3,9,5.9,15,7.2,15
212,400,26,9,5.8,16,7.2,15
213,400,26.1,9,5.8,18,7.1,13
214,410,23.1,8,5.6,16,7,13
215,870,26.1,9,5.8,16,7,10
216,375,28.7,7,5.7,16,7,16
217,970,29.3,6,5.7,11,8,15
218,715,25,8,5.9,12,7.3,15
219,490,25,7,5.8,18,7.3,14
220,110,27.3,6,5.8,16,7,14
221,115,26.2,8,6,12,7.3,15
222,740,25.6,8,5.9,12,7.3,15
223,495,25.9,8,5.9,12,7.3,15
224,530,27.1,8,6,12,7.3,15
225,490,25,7,5.8,18,7.3,14
226,295,26.9,8,5.8,18,7.3,14
227,915,28.4,8,5.8,15,7.2,15
228,440,26.4,9,5.7,14,7.1,13
229,735,26.6,9,5.6,14,7.1,14
230,910,26.2,9,5.8,14,7.1,14
231,710,23.9,8,5.6,16,7,13
232,850,22.4,9,5.8,16,7.2,15
233,410,23.9,8,5.6,16,7,10
234,375,28.6,8,5.7,16,7,16
235,110,29,5,5.8,11,8,15
236,395,26.1,8,5.9,12,7.3,15
237,360,27,6,5.9,16,7,16
238,275,27.1,6,5.9,16,7,14
239,395,26.1,8,5.9,12,7.3,15
240,505,26.1,8,5.9,12,7.3,15
241,375,26.7,8,6,12,7.3,15
242,0,28.1,8,5.9,16,7,11
243,315,28.4,8,5.4,16,7,11
244,745,27.6,9,5.9,16,7,13
245,945,27.4,9,5.9,16,7,13
246,905,21,9,5.8,16,7.2,15
247,5,21.4,9,5.9,16,7.2,15
248,715,24.7,9,5.8,14,7.1,14
249,400,26.7,9,5.8,17,7.1,14
250,490,22.9,9,6,14,7.2,15
251,490,21.1,9,6,16,7,10
252,395,28.3,8,5.7,14,7,16
253,290,27.9,6,5.9,16,7,15
254,300,27.8,6,5.9,16,7,15
255,330,23.8,6,5.9,16,7,16
256,175,26.8,6,5.9,16,7,16
257,910,28.1,9,5.9,14,7.7,15
258,390,26.8,6,5.9,16,7,16
259,970,29.3,6,6,15,7,16
260,985,29.2,7,6,16,6.9,15
261,5,29,7,6.1,16,6.9,15
262,105,29,7,6.2,16,6.4,16
263,445,27.4,7,6,16,6.4,14
264,415,27.1,7,6.1,15,6.4,14
265,0,28.1,8,5.9,16,7,11
266,870,26.7,9,5.8,14,7.1,14
267,10,27.1,9,5.8,16,7,13
268,555,25.5,8,5.6,16,7,13
269,350,22.8,8,6,16,7,10
270,710,27.3,8,5.7,12,6.9,10
271,310,27.8,6,5.9,16,7,15
272,270,27.4,7,5.2,16,7,16
273,300,26.8,6,5.9,16,7,16
274,350,26.8,6,5.9,16,7,16
275,900,28.8,6,6.9,16,7,16
276,910,28.8,6,6,16,7,16
277,930,29.8,5,6,16,7,16
278,930,29.8,5,5.9,14,6.3,14
279,325,30.8,5,5.9,14,6.3,14
280,325,29.5,5,5.9,14,6.3,14
281,525,28.5,5,5.5,13,6.3,14
282,550,28.1,5,5.3,12,6,13
283,910,26.2,9,5.8,14,7.1,14
284,900,26.2,9,5.8,14,7.1,14
285,380,24.2,9,6.3,15,7.1,12
286,350,23.8,9,6.1,16,7.3,10
287,730,21.8,9,6,16,7,10
288,50,23.8,9,6,16,7,10
